investor_id,transaction_date,amfi_code,transaction_type,amount_inr,kyc_status
INV002432,2024-01-01,101208,SIP,3513,Verified
INV002338,2024-01-01,120844,Lumpsum,292991,Verified
INV001041,2024-01-01,101208,SIP,8547,Verified
INV001400,2024-01-01,148567,SIP,10696,Verified
INV000852,2024-01-01,101208,SIP,15916,Verified
INV004915,2024-01-01,120504,SIP,14096,Verified
INV002984,2024-01-01,120844,Redemption,230179,Verified
INV002782,2024-01-01,102886,Lumpsum,250209,Verified
INV002316,2024-01-01,118632,SIP,4715,Verified
INV000097,2024-01-01,125498,Redemption,527377,Verified
INV002139,2024-01-01,125498,Redemption,359482,Verified
INV002219,2024-01-01,101208,Redemption,525983,Verified
INV000576,2024-01-01,120841,Redemption,43157,Verified
INV002166,2024-01-01,120844,SIP,1139,Verified
INV000836,2024-01-01,100016,SIP,1139,Verified
INV001540,2024-01-01,101207,SIP,16264,Verified
INV003664,2024-01-01,125498,SIP,15555,Verified
INV002966,2024-01-01,149324,SIP,15946,Verified
INV002387,2024-01-01,118634,SIP,2891,Verified
INV000983,2024-01-01,101206,SIP,3538,Verified
INV004128,2024-01-01,119094,Redemption,58934,Verified
INV000081,2024-01-01,120844,SIP,1842,Verified
INV004548,2024-01-01,119551,Lumpsum,564276,Verified
INV002253,2024-01-01,120844,Redemption,289915,Verified
INV002942,2024-01-01,148568,Redemption,233200,Verified
INV004308,2024-01-01,119599,SIP,25855,Verified
INV000488,2024-01-01,148568,Redemption,343317,Verified
INV002560,2024-01-02,119120,SIP,6321,Verified
INV003028,2024-01-02,100033,SIP,25360,Verified
INV002868,2024-01-02,148569,SIP,59797,Verified
INV001156,2024-01-02,120843,SIP,28986,Pending
INV000313,2024-01-02,120843,Lumpsum,497034,Verified
INV003926,2024-01-02,118632,SIP,1891,Verified
INV003383,2024-01-02,125497,Redemption,241316,Verified
INV001017,2024-01-02,118632,Redemption,16893,Verified
INV003225,2024-01-02,120843,SIP,3346,Verified
INV003892,2024-01-02,102887,SIP,7250,Verified
INV002135,2024-01-02,100016,Lumpsum,437305,Verified
INV002961,2024-01-02,149322,SIP,16811,Verified
INV000983,2024-01-02,101208,SIP,10547,Verified
INV003821,2024-01-02,119092,SIP,7584,Pending
INV002940,2024-01-02,102886,SIP,966,Verified
INV002817,2024-01-02,102886,Lumpsum,26453,Verified
INV001890,2024-01-02,120504,SIP,859,Verified
INV001888,2024-01-02,120505,Redemption,410786,Verified
INV000370,2024-01-02,118634,SIP,17394,Verified
INV002981,2024-01-02,102886,Lumpsum,100110,Verified
INV003027,2024-01-02,148569,Lumpsum,330642,Verified
INV001106,2024-01-02,118636,Lumpsum,50410,Verified
INV003942,2024-01-02,118632,SIP,16594,Verified
INV000339,2024-01-02,101207,Redemption,383487,Verified
INV002811,2024-01-02,125497,SIP,2631,Verified
INV004296,2024-01-02,100025,SIP,879,Verified
INV002976,2024-01-02,119599,Lumpsum,234926,Verified
INV000349,2024-01-02,120505,Redemption,335222,Verified
INV002546,2024-01-02,101208,Redemption,22305,Verified
INV003505,2024-01-02,120843,Lumpsum,362856,Verified
INV000006,2024-01-02,118633,SIP,8594,Verified
INV000662,2024-01-02,120843,SIP,427,Verified
INV001284,2024-01-02,119092,Lumpsum,6499,Verified
INV004127,2024-01-02,148568,SIP,4185,Verified
INV003208,2024-01-02,120506,SIP,2506,Verified
INV002165,2024-01-02,118634,SIP,2539,Verified
INV002621,2024-01-02,148567,SIP,401,Pending
INV004502,2024-01-02,148567,SIP,10492,Verified
INV001174,2024-01-02,149323,SIP,977,Verified
INV004658,2024-01-02,120842,Lumpsum,17258,Verified
INV004656,2024-01-02,120844,Lumpsum,357937,Verified
INV003658,2024-01-02,125498,SIP,12014,Verified
INV003649,2024-01-02,119598,Redemption,483596,Verified
INV004582,2024-01-02,149323,Lumpsum,249744,Verified
INV003232,2024-01-02,120842,SIP,9766,Verified
INV004414,2024-01-02,149324,SIP,14409,Verified
INV001799,2024-01-02,119120,Lumpsum,116421,Verified
INV001506,2024-01-02,119552,Lumpsum,19502,Verified
INV001699,2024-01-02,119095,SIP,1108,Verified
INV002196,2024-01-02,148569,SIP,1696,Verified
INV001328,2024-01-02,120842,Redemption,484947,Verified
INV004567,2024-01-02,120841,SIP,14130,Verified
INV003865,2024-01-02,149322,SIP,3482,Verified
INV000105,2024-01-02,119093,SIP,5253,Verified
INV004514,2024-01-02,148568,SIP,16661,Verified
INV004516,2024-01-02,102885,SIP,1137,Verified
INV002374,2024-01-02,118634,Redemption,81173,Verified
INV001727,2024-01-02,119598,SIP,16687,Verified
INV002888,2024-01-03,100025,Redemption,259110,Pending
INV001769,2024-01-03,120506,SIP,889,Pending
INV003609,2024-01-03,120843,SIP,16476,Verified
INV003571,2024-01-03,149323,SIP,536,Verified
INV001367,2024-01-03,118632,SIP,10274,Verified
INV003178,2024-01-03,119094,Lumpsum,118897,Verified
INV002599,2024-01-03,100025,Lumpsum,286111,Verified
INV003626,2024-01-03,125497,Redemption,483044,Verified
INV000690,2024-01-03,148569,Lumpsum,173646,Verified
INV001860,2024-01-03,119092,SIP,1978,Verified
INV002065,2024-01-03,100025,SIP,47647,Verified
INV002708,2024-01-03,120504,Redemption,205486,Verified
INV004288,2024-01-03,119120,Lumpsum,95676,Verified
INV004581,2024-01-03,120505,SIP,2292,Pending
INV002467,2024-01-03,125498,SIP,50948,Verified
INV003670,2024-01-03,120505,SIP,8793,Verified
INV004024,2024-01-03,119552,SIP,43121,Verified
INV000747,2024-01-03,120841,Lumpsum,374549,Verified
INV002847,2024-01-03,148567,SIP,4736,Verified
INV001508,2024-01-03,120503,SIP,7953,Verified
INV004562,2024-01-03,149324,SIP,963,Pending
INV001350,2024-01-03,125498,Lumpsum,83480,Verified
INV002357,2024-01-03,100016,SIP,26713,Verified
INV002059,2024-01-03,101208,Lumpsum,268619,Verified
INV000595,2024-01-03,102887,Lumpsum,124825,Verified
INV004391,2024-01-03,118636,SIP,484,Verified
INV004733,2024-01-03,102885,SIP,7080,Pending
INV002865,2024-01-03,148569,Redemption,449863,Verified
INV000454,2024-01-03,119599,SIP,15910,Verified
INV002414,2024-01-03,120507,Lumpsum,396379,Verified
INV000321,2024-01-03,149323,SIP,15782,Verified
INV003379,2024-01-03,120841,SIP,1008,Verified
INV004544,2024-01-03,148567,Redemption,410715,Verified
INV000527,2024-01-03,119094,Lumpsum,114021,Verified
INV004633,2024-01-03,125498,Lumpsum,296354,Verified
INV003737,2024-01-03,119093,Lumpsum,126721,Verified
INV000679,2024-01-03,149323,Redemption,141968,Verified
INV004357,2024-01-03,125498,SIP,2459,Verified
INV004941,2024-01-03,120505,Lumpsum,310085,Verified
INV000632,2024-01-03,120844,Lumpsum,246606,Verified
INV000849,2024-01-03,148567,Lumpsum,254442,Verified
INV001167,2024-01-03,118636,SIP,41124,Verified
INV000007,2024-01-03,119094,SIP,13603,Verified
INV000431,2024-01-03,120504,SIP,23759,Verified
INV002417,2024-01-03,120842,SIP,2719,Verified
INV000011,2024-01-03,120507,SIP,2230,Verified
INV001167,2024-01-03,102886,SIP,8419,Verified
INV000954,2024-01-03,148568,SIP,2224,Verified
INV002101,2024-01-03,102887,Redemption,234810,Verified
INV000947,2024-01-03,101208,Redemption,281989,Verified
INV004867,2024-01-03,100033,Lumpsum,331777,Verified
INV004125,2024-01-03,100016,SIP,2999,Verified
INV001910,2024-01-03,102886,Redemption,502057,Verified
INV001411,2024-01-03,102886,SIP,2998,Verified
INV003326,2024-01-03,125498,SIP,2712,Verified
INV004173,2024-01-03,120504,SIP,479,Verified
INV004867,2024-01-03,120506,SIP,3082,Pending
INV001454,2024-01-03,120843,SIP,554,Verified
INV003100,2024-01-04,149324,Lumpsum,361700,Verified
INV000215,2024-01-04,120505,Lumpsum,190843,Verified
INV003191,2024-01-04,119092,Lumpsum,94475,Verified
INV003946,2024-01-04,120504,Lumpsum,465127,Verified
INV000330,2024-01-04,119552,SIP,8747,Verified
INV004797,2024-01-04,125497,Lumpsum,178854,Verified
INV000330,2024-01-04,120841,Lumpsum,351770,Verified
INV001128,2024-01-04,120844,Lumpsum,168521,Verified
INV002302,2024-01-04,125498,Lumpsum,153713,Verified
INV002495,2024-01-04,118636,SIP,2727,Verified
INV002158,2024-01-04,120507,Lumpsum,39096,Verified
INV000144,2024-01-04,120503,SIP,499,Verified
INV004563,2024-01-04,118634,Lumpsum,38117,Verified
INV002912,2024-01-04,149323,Redemption,520148,Verified
INV002343,2024-01-04,119093,SIP,1182,Verified
INV000091,2024-01-04,120504,SIP,2368,Verified
INV004688,2024-01-04,120505,Lumpsum,168104,Verified
INV004321,2024-01-04,120843,SIP,1147,Verified
INV001579,2024-01-04,125498,SIP,40657,Verified
INV003705,2024-01-04,120506,SIP,57004,Pending
INV000544,2024-01-04,120507,Lumpsum,295246,Verified
INV001997,2024-01-04,120505,SIP,908,Verified
INV003707,2024-01-04,120506,SIP,3527,Verified
INV000372,2024-01-04,148569,Lumpsum,209421,Verified
INV001331,2024-01-04,120841,SIP,568,Verified
INV002033,2024-01-04,102885,SIP,8905,Verified
INV003953,2024-01-04,148569,SIP,58436,Verified
INV003500,2024-01-04,120505,SIP,2007,Pending
INV003240,2024-01-04,101206,SIP,6686,Pending
INV003040,2024-01-04,119598,Lumpsum,468352,Verified
INV000663,2024-01-04,148568,SIP,558,Pending
INV003083,2024-01-04,125497,Lumpsum,201815,Verified
INV004131,2024-01-04,101208,SIP,2343,Verified
INV001806,2024-01-04,102885,SIP,20256,Verified
INV001190,2024-01-04,118636,SIP,9909,Verified
INV004939,2024-01-04,118635,SIP,25211,Verified
INV004896,2024-01-04,148567,Lumpsum,22023,Verified
INV004682,2024-01-04,120841,SIP,571,Verified
INV002891,2024-01-04,120842,SIP,2202,Verified
INV002400,2024-01-04,120506,SIP,11693,Verified
INV004138,2024-01-04,119094,SIP,827,Verified
INV003489,2024-01-04,149323,SIP,11426,Verified
INV004602,2024-01-04,120504,SIP,28337,Verified
INV004593,2024-01-04,120506,Lumpsum,65501,Verified
INV003394,2024-01-04,149322,SIP,13339,Verified
INV002056,2024-01-04,119551,SIP,5980,Verified
INV004770,2024-01-04,125497,SIP,8263,Verified
INV002862,2024-01-04,119092,SIP,1123,Verified
INV003414,2024-01-04,149322,SIP,2730,Verified
INV000803,2024-01-04,120505,SIP,4906,Verified
INV004353,2024-01-04,120844,Lumpsum,20266,Verified
INV001553,2024-01-04,120844,Redemption,125745,Verified
INV003579,2024-01-04,119599,Lumpsum,518933,Verified
INV003410,2024-01-04,149324,SIP,1826,Verified
INV003409,2024-01-04,125497,Redemption,255163,Verified
INV002554,2024-01-04,102885,SIP,8997,Verified
INV004059,2024-01-04,120843,SIP,7638,Verified
INV000639,2024-01-04,149322,Lumpsum,286253,Verified
INV002219,2024-01-04,120504,SIP,5981,Verified
INV002960,2024-01-04,119120,SIP,15426,Verified
INV003342,2024-01-04,100025,Redemption,345140,Verified
INV002748,2024-01-04,119120,SIP,533,Verified
INV004880,2024-01-04,125497,SIP,6167,Verified
INV002436,2024-01-04,149322,SIP,5899,Verified
INV002659,2024-01-04,125497,Redemption,218077,Verified
INV003196,2024-01-04,101207,SIP,2483,Verified
INV000874,2024-01-04,120844,SIP,1162,Verified
INV000386,2024-01-04,119093,SIP,57205,Verified
INV001536,2024-01-04,119598,SIP,1762,Verified
INV002642,2024-01-04,148568,SIP,911,Verified
INV004452,2024-01-05,149324,SIP,4901,Verified
INV003171,2024-01-05,120505,SIP,5100,Verified
INV000926,2024-01-05,120507,SIP,7278,Verified
INV001070,2024-01-05,120843,SIP,52410,Verified
INV004919,2024-01-05,100033,Lumpsum,243656,Verified
INV002656,2024-01-05,118636,Lumpsum,265566,Verified
INV003072,2024-01-05,119094,SIP,28652,Verified
INV003846,2024-01-05,102886,Redemption,8986,Verified
INV004400,2024-01-05,120841,Lumpsum,522907,Verified
INV003028,2024-01-05,100033,SIP,7663,Verified
INV004733,2024-01-05,149323,SIP,822,Verified
INV002610,2024-01-05,100016,SIP,4252,Verified
INV000476,2024-01-05,100033,SIP,47424,Verified
INV003516,2024-01-05,118635,Lumpsum,363022,Verified
INV000181,2024-01-05,118633,SIP,8019,Verified
INV002225,2024-01-05,120844,SIP,2284,Verified
INV003251,2024-01-05,149324,Lumpsum,341468,Verified
INV003193,2024-01-05,119599,SIP,4260,Verified
INV004998,2024-01-05,120844,Lumpsum,295114,Verified
INV004981,2024-01-05,149323,SIP,7677,Verified
INV003075,2024-01-05,100025,SIP,8649,Verified
INV001651,2024-01-05,149323,SIP,6844,Verified
INV004478,2024-01-05,101206,Redemption,308976,Verified
INV004743,2024-01-05,119092,SIP,15224,Verified
INV003198,2024-01-05,120843,SIP,46712,Verified
INV003076,2024-01-05,120507,Redemption,197940,Verified
INV003427,2024-01-05,118633,Redemption,193289,Verified
INV003505,2024-01-05,148568,Redemption,13457,Verified
INV001811,2024-01-05,119552,Lumpsum,48636,Verified
INV000762,2024-01-05,101208,Lumpsum,141489,Verified
INV001930,2024-01-05,125497,SIP,1092,Verified
INV000535,2024-01-05,118636,SIP,26387,Verified
INV000642,2024-01-05,119092,Redemption,413094,Verified
INV003641,2024-01-05,120505,SIP,6819,Verified
INV001027,2024-01-05,119552,Redemption,347503,Verified
INV000058,2024-01-05,120841,Lumpsum,248336,Verified
INV004257,2024-01-05,119094,Redemption,301471,Pending
INV004889,2024-01-05,149323,Lumpsum,330076,Verified
INV003063,2024-01-05,148569,SIP,869,Verified
INV001269,2024-01-05,100033,Lumpsum,432672,Pending
INV003937,2024-01-05,102885,Lumpsum,451983,Verified
INV000786,2024-01-05,119095,SIP,1199,Verified
INV002567,2024-01-05,120842,SIP,9018,Verified
INV004992,2024-01-05,101208,SIP,434,Verified
INV001636,2024-01-05,119094,SIP,8674,Verified
INV004902,2024-01-05,119552,Lumpsum,25230,Verified
INV002947,2024-01-05,148569,SIP,8881,Verified
INV003795,2024-01-05,101208,SIP,4746,Verified
INV003216,2024-01-05,119551,Lumpsum,59528,Verified
INV001629,2024-01-05,118634,Lumpsum,26213,Verified
INV002611,2024-01-05,120507,Redemption,373343,Verified
INV004340,2024-01-05,102885,Redemption,151645,Verified
INV004096,2024-01-05,101207,SIP,44821,Verified
INV004291,2024-01-05,149323,Redemption,402785,Verified
INV002154,2024-01-05,149324,Redemption,188124,Verified
INV004414,2024-01-05,118635,Redemption,294110,Verified
INV000854,2024-01-05,119093,SIP,2770,Verified
INV001295,2024-01-05,119120,SIP,6736,Verified
INV000461,2024-01-05,125498,SIP,10676,Pending
INV000065,2024-01-05,149322,Redemption,89612,Verified
INV003211,2024-01-05,101206,Lumpsum,405816,Verified
INV002530,2024-01-05,119093,SIP,13177,Pending
INV004472,2024-01-05,120843,Lumpsum,331877,Verified
INV000791,2024-01-05,119598,SIP,13272,Verified
INV000797,2024-01-05,118636,Redemption,372649,Verified
INV003744,2024-01-06,118632,Lumpsum,123594,Verified
INV001492,2024-01-06,119552,SIP,2167,Verified
INV002796,2024-01-06,101207,Lumpsum,115644,Pending
INV001304,2024-01-06,125497,SIP,5514,Pending
INV003998,2024-01-06,101208,SIP,11973,Verified
INV001058,2024-01-06,119598,Lumpsum,33691,Verified
INV003636,2024-01-06,119552,SIP,2299,Verified
INV001630,2024-01-06,119093,SIP,27077,Verified
INV003991,2024-01-06,120504,SIP,3089,Verified
INV000668,2024-01-06,101207,SIP,2570,Verified
INV001848,2024-01-06,148569,SIP,16080,Verified
INV003876,2024-01-06,100033,Redemption,237658,Verified
INV003022,2024-01-06,101207,Lumpsum,445481,Verified
INV002250,2024-01-06,102887,Lumpsum,554938,Verified
INV004594,2024-01-06,149322,Lumpsum,119338,Verified
INV001283,2024-01-06,119599,Lumpsum,33527,Pending
INV002835,2024-01-06,149322,SIP,5894,Verified
INV002776,2024-01-06,101207,SIP,989,Pending
INV003143,2024-01-06,120843,Lumpsum,249341,Verified
INV003696,2024-01-06,120504,Lumpsum,401559,Verified
INV000783,2024-01-06,148569,Lumpsum,60606,Pending
INV000783,2024-01-06,100033,Lumpsum,330093,Verified
INV003060,2024-01-06,120507,SIP,10941,Verified
INV000974,2024-01-06,120506,SIP,6150,Verified
INV000126,2024-01-06,101207,Lumpsum,151709,Pending
INV004134,2024-01-06,148569,SIP,3144,Verified
INV001131,2024-01-06,120505,Lumpsum,513257,Verified
INV004811,2024-01-06,120841,Redemption,39649,Verified
INV003691,2024-01-06,118632,SIP,1128,Verified
INV001902,2024-01-06,120843,SIP,2179,Verified
INV004230,2024-01-06,120841,Lumpsum,31627,Verified
INV001923,2024-01-06,102886,SIP,1042,Verified
INV002658,2024-01-06,120503,Lumpsum,41413,Verified
INV001953,2024-01-06,101208,Lumpsum,420171,Verified
INV002565,2024-01-06,119599,Lumpsum,63809,Verified
INV001770,2024-01-06,118636,Lumpsum,138095,Verified
INV000960,2024-01-06,120507,SIP,12641,Pending
INV001924,2024-01-06,125497,SIP,2361,Verified
INV003097,2024-01-06,120842,SIP,9469,Verified
INV000166,2024-01-06,149324,SIP,2824,Verified
INV001870,2024-01-06,118636,SIP,57785,Verified
INV004329,2024-01-06,102886,SIP,2439,Verified
INV004832,2024-01-06,119551,Redemption,359828,Verified
INV001043,2024-01-06,149324,SIP,3166,Verified
INV001656,2024-01-06,119120,Redemption,357463,Verified
INV004412,2024-01-06,148568,SIP,2615,Verified
INV003040,2024-01-06,148568,SIP,1616,Verified
INV002034,2024-01-06,120842,SIP,28965,Verified
INV004185,2024-01-06,118633,SIP,2625,Verified
INV000182,2024-01-06,120842,Redemption,309923,Verified
INV004497,2024-01-06,119120,SIP,42251,Verified
INV000163,2024-01-06,100033,SIP,26952,Verified
INV003894,2024-01-06,119552,Lumpsum,404974,Verified
INV001720,2024-01-06,119094,Redemption,197973,Verified
INV000104,2024-01-06,149322,SIP,29462,Pending
INV002548,2024-01-06,118632,SIP,59410,Verified
INV002329,2024-01-06,120842,SIP,8132,Verified
INV003070,2024-01-06,119092,SIP,26490,Verified
INV003564,2024-01-06,148569,SIP,53136,Verified
INV000408,2024-01-07,120843,Redemption,118820,Verified
INV000231,2024-01-07,119095,Redemption,221924,Verified
INV000091,2024-01-07,101208,SIP,8317,Verified
INV001735,2024-01-07,119552,SIP,16939,Verified
INV000894,2024-01-07,100033,Redemption,219820,Verified
INV000962,2024-01-07,120842,Lumpsum,422124,Verified
INV001723,2024-01-07,119094,SIP,6112,Verified
INV003085,2024-01-07,119092,Redemption,181536,Verified
INV003325,2024-01-07,101206,SIP,2768,Verified
INV004132,2024-01-07,119094,Lumpsum,263193,Verified
INV003322,2024-01-07,120506,SIP,4204,Verified
INV004841,2024-01-07,101207,SIP,592,Verified
INV004119,2024-01-07,119551,Redemption,376569,Verified
INV001476,2024-01-07,119092,SIP,10756,Pending
INV000667,2024-01-07,101208,Lumpsum,390649,Verified
INV001689,2024-01-07,120505,Lumpsum,473543,Verified
INV003422,2024-01-07,119598,SIP,17031,Verified
INV002471,2024-01-07,120844,SIP,1126,Verified
INV001274,2024-01-07,119092,Lumpsum,136990,Verified
INV004336,2024-01-07,120842,Lumpsum,117691,Verified
INV001036,2024-01-07,149323,SIP,2621,Verified
INV001363,2024-01-07,118632,SIP,58920,Verified
INV000339,2024-01-07,120843,Lumpsum,133844,Verified
INV003377,2024-01-07,148567,Lumpsum,275934,Verified
INV002732,2024-01-07,120843,SIP,1047,Verified
INV000766,2024-01-07,148568,SIP,7948,Verified
INV004894,2024-01-07,120506,SIP,2960,Verified
INV000308,2024-01-07,119095,Redemption,15648,Verified
INV000307,2024-01-07,149323,Lumpsum,81645,Verified
INV004258,2024-01-07,119552,Redemption,57695,Verified
INV003343,2024-01-07,119095,Redemption,96619,Verified
INV004639,2024-01-07,101208,Redemption,396767,Verified
INV001491,2024-01-07,149322,SIP,4575,Verified
INV001006,2024-01-07,101208,SIP,2104,Verified
INV000288,2024-01-07,118634,SIP,55146,Verified
INV003054,2024-01-07,120843,SIP,6158,Verified
INV004349,2024-01-07,119092,Lumpsum,416883,Verified
INV003341,2024-01-07,149322,Lumpsum,76277,Verified
INV004754,2024-01-07,119552,SIP,4842,Verified
INV002870,2024-01-07,125498,Lumpsum,423490,Verified
INV003411,2024-01-07,149324,SIP,2954,Verified
INV000155,2024-01-07,120506,Redemption,230658,Verified
INV000855,2024-01-07,101206,SIP,490,Verified
INV004185,2024-01-07,101206,SIP,2462,Verified
INV002834,2024-01-07,120841,Redemption,368938,Verified
INV004498,2024-01-07,119120,Redemption,253111,Verified
INV004008,2024-01-07,101208,SIP,471,Verified
INV001602,2024-01-07,100016,SIP,17107,Verified
INV003319,2024-01-07,102886,SIP,4604,Verified
INV001447,2024-01-07,120841,Redemption,75406,Verified
INV002599,2024-01-07,149322,SIP,2827,Verified
INV000032,2024-01-07,119120,Redemption,291165,Verified
INV002505,2024-01-07,120841,SIP,8163,Verified
INV000583,2024-01-07,119092,Redemption,344315,Verified
INV000476,2024-01-07,120505,SIP,9845,Verified
INV004427,2024-01-07,100016,SIP,12756,Verified
INV000540,2024-01-07,120843,Redemption,410824,Verified
INV001961,2024-01-07,120503,SIP,2278,Verified
INV003279,2024-01-07,119120,SIP,14432,Pending
INV002329,2024-01-07,120842,SIP,26835,Verified
INV000542,2024-01-07,118632,SIP,2033,Verified
INV004576,2024-01-07,148569,Redemption,200234,Verified
INV001311,2024-01-07,102887,SIP,553,Verified
INV001327,2024-01-07,120842,SIP,5741,Verified
INV002361,2024-01-08,101207,SIP,42978,Verified
INV004088,2024-01-08,118636,Lumpsum,225281,Verified
INV001581,2024-01-08,100025,Lumpsum,194939,Verified
INV004493,2024-01-08,119599,Redemption,115716,Verified
INV000309,2024-01-08,125498,SIP,2302,Verified
INV001696,2024-01-08,120507,SIP,2285,Pending
INV002847,2024-01-08,120841,Redemption,255648,Verified
INV000074,2024-01-08,148567,SIP,2005,Verified
INV004714,2024-01-08,100033,Lumpsum,337687,Verified
INV003294,2024-01-08,118634,Redemption,249450,Verified
INV004450,2024-01-08,100016,SIP,55566,Verified
INV003232,2024-01-08,120842,Redemption,423309,Verified
INV001122,2024-01-08,148568,SIP,16130,Verified
INV004647,2024-01-08,100025,Lumpsum,218815,Verified
INV001333,2024-01-08,100016,SIP,803,Verified
INV001220,2024-01-08,119095,SIP,570,Verified
INV004226,2024-01-08,118633,Redemption,88746,Verified
INV000081,2024-01-08,119095,Lumpsum,283811,Verified
INV001021,2024-01-08,119093,SIP,20743,Verified
INV000583,2024-01-08,120507,Lumpsum,278514,Verified
INV002679,2024-01-08,118636,Lumpsum,334718,Verified
INV003342,2024-01-08,119552,Redemption,189489,Pending
INV002361,2024-01-08,102885,SIP,5081,Verified
INV001605,2024-01-08,120506,SIP,55254,Verified
INV002796,2024-01-08,101207,SIP,917,Verified
INV000759,2024-01-08,148567,SIP,438,Verified
INV002932,2024-01-08,118634,SIP,2386,Verified
INV000825,2024-01-08,125497,Lumpsum,342462,Verified
INV000684,2024-01-08,120842,Redemption,117757,Verified
INV001407,2024-01-08,149323,SIP,17925,Verified
INV000683,2024-01-08,148567,SIP,2362,Verified
INV000399,2024-01-08,119094,SIP,1159,Verified
INV002232,2024-01-08,119552,SIP,17948,Verified
INV002549,2024-01-08,120506,SIP,1195,Verified
INV003536,2024-01-08,118632,SIP,17568,Verified
INV001697,2024-01-08,120507,SIP,48897,Verified
INV001011,2024-01-08,100033,SIP,2227,Pending
INV001109,2024-01-08,102885,SIP,1652,Verified
INV003978,2024-01-08,101207,SIP,25496,Verified
INV001747,2024-01-08,101207,Lumpsum,394469,Verified
INV004285,2024-01-08,120843,Lumpsum,154122,Verified
INV003161,2024-01-08,119599,Lumpsum,341506,Verified
INV001111,2024-01-08,101206,Redemption,150718,Verified
INV000567,2024-01-08,120843,Lumpsum,329312,Verified
INV003713,2024-01-08,119551,SIP,2267,Verified
INV003902,2024-01-08,118636,Redemption,357460,Verified
INV000156,2024-01-08,125497,SIP,3302,Verified
INV000260,2024-01-08,149322,SIP,2582,Verified
INV001916,2024-01-08,100033,SIP,2612,Verified
INV003473,2024-01-08,120843,SIP,1197,Verified
INV003136,2024-01-08,125497,Lumpsum,21407,Verified
INV001385,2024-01-08,119092,SIP,2097,Verified
INV004833,2024-01-08,118635,Lumpsum,351348,Verified
INV004983,2024-01-08,148569,Redemption,170231,Verified
INV004887,2024-01-08,120503,Lumpsum,4541,Verified
INV004946,2024-01-08,120841,Redemption,186769,Verified
INV004609,2024-01-08,149322,Lumpsum,54390,Verified
INV004609,2024-01-08,120506,SIP,3263,Verified
INV002754,2024-01-08,120504,SIP,17836,Verified
INV003398,2024-01-08,149323,Lumpsum,325398,Verified
INV004774,2024-01-08,120843,Lumpsum,357780,Verified
INV002951,2024-01-08,102886,Lumpsum,28656,Verified
INV002523,2024-01-08,118634,Lumpsum,283929,Verified
INV003957,2024-01-08,120841,SIP,4104,Verified
INV000833,2024-01-08,100025,SIP,2520,Verified
INV004178,2024-01-08,120506,SIP,1991,Verified
INV003133,2024-01-08,102886,Lumpsum,316291,Verified
INV000138,2024-01-09,119092,Lumpsum,183948,Verified
INV001105,2024-01-09,101206,Lumpsum,310210,Verified
INV000044,2024-01-09,125498,Lumpsum,308582,Verified
INV004672,2024-01-09,102886,Lumpsum,443932,Pending
INV001287,2024-01-09,120506,SIP,4216,Verified
INV004852,2024-01-09,119092,SIP,498,Verified
INV001881,2024-01-09,120505,SIP,29130,Verified
INV000608,2024-01-09,119092,SIP,14394,Verified
INV002030,2024-01-09,119552,Redemption,508939,Verified
INV003171,2024-01-09,102885,SIP,8539,Verified
INV002101,2024-01-09,119599,SIP,1651,Verified
INV000818,2024-01-09,101206,Redemption,317854,Verified
INV002951,2024-01-09,120503,Lumpsum,243569,Verified
INV002490,2024-01-09,100016,SIP,6591,Verified
